epoch,lr,margin_m,scale_s,val_loss,top1_acc,top5_acc,mean_genuine,mean_impostor,separation_delta,roc_auc
1,0.0005499999970197678,0.2,32.0,12.1421480178833,0.0,0.0,0.12056353431645288,0.07854619129467756,0.042017343021775316,0.5513211382113821
2,0.0010000000474974513,0.23750000000000002,36.0,13.800274848937988,0.0,0.0,0.2097586078010307,0.1088882041061297,0.100870403694901,0.5813008130081301
3,0.000994421076029539,0.275,40.0,15.650896072387695,0.0,0.0,0.22366813280088596,0.08576069162087516,0.1379074411800108,0.6361788617886179
4,0.0009778087260201573,0.3125,44.0,17.88479232788086,0.0002012882468989119,0.0007380569004453719,0.21434943968562933,0.05563865964580327,0.15871078003982605,0.6717479674796748
5,0.0009505339548923075,0.35,48.0,20.865814208984375,0.0012748255394399166,0.0052334945648908615,0.25421458570005695,0.10201857151417061,0.15219601418588635,0.6773373983739838
6,0.0009132063132710755,0.3875,52.0,22.98201560974121,0.005032205954194069,0.01375469658523798,0.19897036786885808,0.03619699236517772,0.16277337550368037,0.7007113821138211
7,0.000866659393068403,0.425,56.0,26.36392593383789,0.009192163124680519,0.025228125974535942,0.20322733046823713,0.04128774019842967,0.16193959026980745,0.6996951219512195
8,0.000811933190561831,0.4625,60.0,29.319229125976562,0.013620504178106785,0.035158347338438034,0.19174027301934893,0.02571310679614544,0.1660271662232035,0.7012195121951219
9,0.0007502500666305423,0.5,64.0,33.23536682128906,0.019592056050896645,0.04918142780661583,0.19822675576491267,0.03028710355563089,0.16793965220928178,0.711890243902439
10,0.0006829878548160195,0.5,64.0,33.69919204711914,0.0389157272875309,0.08796296268701553,0.20062661288336905,0.03558381299860775,0.1650427998847613,0.7184959349593496
11,0.0006116491858847439,0.5,64.0,33.24518585205078,0.06696189194917679,0.14539721608161926,0.1855817571468074,0.017885484747821465,0.16769627239898593,0.7129065040650406
12,0.0005378276691772044,0.5,64.0,33.42708969116211,0.11171497404575348,0.23101180791854858,0.1905596433909733,0.02569980431906879,0.16485983907190452,0.7002032520325203
13,0.0004631722695194185,0.5,64.0,33.60832595825195,0.17693236470222473,0.3338029980659485,0.1828152738778067,0.021287443658802658,0.16152783021900402,0.7042682926829268
14,0.0003893507528118789,0.5,64.0,34.02098846435547,0.2620101869106293,0.4524959623813629,0.18155892384801375,0.023145064237061887,0.15841385961095186,0.6935975609756098
15,0.0003180120838806033,0.5,64.0,34.042667388916016,0.37338969111442566,0.584809422492981,0.18371761086625854,0.018340000498108567,0.16537761036814996,0.7027439024390244
16,0.0002507499884814024,0.5,64.0,34.4080924987793,0.5106682777404785,0.717391312122345,0.17193968450960373,0.013664097943808884,0.15827558656579485,0.6920731707317073
17,0.00018906676268670708,0.5,64.0,34.51466369628906,0.666800856590271,0.8317230343818665,0.16815432445155765,0.01388741443073377,0.15426691002082388,0.698170731707317
18,0.00013434054562821984,0.5,64.0,34.624847412109375,0.811862587928772,0.916398286819458,0.16472441606870122,0.013775621875189244,0.15094879419351198,0.6829268292682927
19,8.77937491168268e-05,0.5,64.0,34.78802490234375,0.9258588552474976,0.967391312122345,0.16626638194742374,0.013860720635391772,0.15240566131203198,0.6925813008130082
20,5.0466001994209364e-05,0.5,64.0,34.96462631225586,0.9822195172309875,0.989935576915741,0.1623213994398536,0.012914705185685306,0.1494066942541683,0.6839430894308943
21,2.319136547157541e-05,0.5,64.0,34.92835235595703,0.9963096976280212,0.9975845217704773,0.16112788264785916,0.01384119728859514,0.147286685359264,0.6864837398373984
22,6.578983175131725e-06,0.5,64.0,35.017208099365234,0.9989264607429504,0.9992619156837463,0.15651937081595912,0.011427702931221575,0.14509166788473754,0.6869918699186992
23,9.999999974752427e-07,0.5,64.0,35.00426483154297,0.9994632601737976,0.9996645450592041,0.15844210995359284,0.014511035611853004,0.14393107434173985,0.6864837398373984
24,9.999999974752427e-07,0.5,64.0,34.88166427612305,0.9995303153991699,0.9997987151145935,0.15823879515105657,0.012478345069102942,0.14576045008195362,0.6875
25,9.999999974752427e-07,0.5,64.0,34.93647384643555,0.999597430229187,0.9998658299446106,0.15802078795896396,0.011864226505160332,0.14615656145380362,0.6895325203252033
